#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-07-14T23:30:44 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ578819ef7d02	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/AJ/138/1003/table3
#-nav=cat:J/AJ/138/1003&tab:{J/AJ/138/1003/table3}&key:source=J/AJ/138/1003/table3&HTTPPRM:&&-ref=VIZ578819ef7d02&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=RAJ2000&-out=DEJ2000&-out=[3.6]&-out=[4.5]&-out=Class&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/138/1003/table3
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/138/1003/table3
#-order=I
#-out=RAJ2000
#-out=DEJ2000
#-out=[3.6]
#-out=[4.5]
#-out=Class
#

#RESOURCE=yCat_51381003
#Name: J/AJ/138/1003
#Title: IR photometry of massive LMC stars (Bonanos+, 2009)
#Table	J_AJ_138_1003_table3:
#Name: J/AJ/138/1003/table3
#Title: 0.3-24 micron photometry of 1268 massive stars in the LMC
#Column	RAJ2000	(F10.6)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	[3.6]	(F6.3)	? Spitzer/IRAC 3.6 micron band magnitude	[ucd=phot.mag;em.IR.3-4um]
#Column	[4.5]	(F6.3)	? Spitzer/IRAC 4.5 micron band magnitude	[ucd=phot.mag;em.IR.4-8um]
#Column	Class	(a32)	MK Spectral type and object type	[ucd=src.spType]
RAJ2000	DEJ2000	[3.6]	[4.5]	Class
074.169670	-66.491913	14.767	14.723	B0.5: V
074.171081	-66.461105	13.337	13.312	B0 V
074.175247	-66.476669	14.799	14.391	B1: V
074.175331	-66.521950	15.127	15.182	B0 V
074.175667	-66.415115	14.160	14.131	O3 V((f))
074.177040	-66.421661	13.414	13.481	ON2 III (f)
074.177750	-66.495857	13.761	13.776	B0.5 III
074.180420	-66.417274	      	12.560	O6 V
074.180794	-66.415085	14.614	14.695	O6.5 V
074.181793	-66.489861	14.838	14.642	B0 V
074.182045	-66.476669	15.185	15.343	B1 V
074.183166	-66.470696	15.565	15.523	B1-2 +early-B Binary
074.184586	-66.384666	15.520	15.543	B1.5 V Binary (SB1)
074.185501	-66.500916	15.413	15.448	B1 Vn
074.185623	-66.484970	15.853	15.978	B1: V:
074.185913	-66.415779	14.764	14.810	B0: V
074.185913	-66.572357	14.383	14.377	O9.5 V Binary
074.187294	-66.470917	15.667	15.762	B0 V
074.188377	-66.419609	13.657	13.718	O5 III(f+)
074.188873	-66.493637	12.785	12.711	O8.5 Iaf
074.189125	-66.475387	15.667	15.726	O9 V
074.189209	-66.412834	13.776	13.669	O7 V ZAMS
074.193207	-66.454636	15.430	15.438	B1 V
074.193962	-66.414337	15.326	15.233	O9 V
074.194664	-66.486496	15.653	15.689	B0.5 III Binary (SB2) Early B-
074.195046	-66.475998	15.459	15.494	O8: V
074.195167	-66.412949	13.065	13.013	O5.5 V ((f*))
074.196167	-69.840225	 7.213	 6.433	B0.5[e]
074.196335	-66.416420	14.021	14.148	O6.5 V ZAMS
074.196625	-66.482170	12.418	12.411	O9.7 Iab
074.199791	-66.476334	14.187	14.225	O7 Vp
074.200081	-66.336060	12.965	12.938	B2 Iab
074.209663	-66.517670	13.181	13.094	O5 I(n)fp Binary
074.210419	-66.473084	16.058	16.046	O9.5 V
074.210792	-66.409699	12.152	12.046	B1 Ia
074.212997	-69.313614	12.480	12.422	B0.7 I
074.213127	-66.530090	12.447	12.300	B1 Ia
074.213753	-66.478584	15.526	15.573	O9 V
074.213913	-66.397057	 7.755	 7.877	early K I
074.214706	-65.519005	13.188	13.190	B1 V
074.218002	-66.547912	14.045	14.003	O6.5 Iaf Binary
074.218918	-66.332169	13.799	13.801	O2.5 III(f)
074.221291	-66.463882	14.777	14.795	B0.5 V
074.225334	-66.365639	15.459	15.466	B1.5 III Binary (SB2)
074.226997	-66.458885	13.508	13.295	B1: (Be-Fe) Binary
074.227959	-66.492996	14.391	14.394	O7 V((f))
074.227959	-66.480026	13.379	13.381	O6 III(f)
074.230621	-66.550507	14.595	14.612	B0.2 V Binary (SB1)
074.231582	-66.482750	14.764	14.815	O6.5 V
074.239624	-66.589256	14.936	14.974	O7 V((f))
074.245705	-66.579529	15.185	15.161	B2 III Binary (SB1)
074.245834	-66.410561	12.496	12.395	O2-3 III(f*) + OB
074.250999	-66.537857	15.055	15.106	B0.5 V
074.253502	-66.403862	15.015	15.054	early B
074.253586	-66.406891	13.188	13.205	O8 V Binary (SB2)
074.253670	-66.399193	13.071	13.013	O4-5 + O7: Binary (SB2)
074.254417	-66.474945	14.525	14.558	O7 III + B0: Binary (SB2)
074.255501	-66.336945	14.838	14.663	O9 V Binary
074.263878	-66.502251	14.907	14.992	B0.5: Vn Binary
074.267082	-66.486137	12.319	12.223	B1 Ia
074.268501	-66.577385	11.620	11.571	BC1 Ia
074.269211	-66.406197	14.812	14.878	B3 III
074.270126	-68.402946	12.255	12.237	B0.5 Ia
074.272583	-68.414833	13.233	12.903	O8 V
074.276665	-68.415031	14.936	14.974	O8 V
074.277916	-68.409782	14.484	14.522	B0.5 III
074.281998	-68.416557	15.148	14.884	B1.5 III
074.283539	-68.420082	11.261	11.232	B2 Ia
074.286873	-66.390305	10.923	10.801	B2 Ia
074.288796	-66.369949	15.363	15.412	O9.5 V
074.294044	-66.301895	12.411	12.218	O8-9 IIIne
074.294998	-68.414612	14.280	14.258	O8 V
074.296913	-66.448280	13.720	13.434	B0.5 (Be-Fe)
074.297791	-66.371887	14.749	14.836	B0.2: Vn Binary
074.312874	-69.338867	13.600	13.584	O7 If
074.317665	-66.389107	      	      	O6-8 V
074.319664	-66.472969	13.989	13.987	B0: IIIn Binary?
074.320000	-68.410972	10.653	10.523	B2 Ia
074.321167	-66.506249	15.166	15.113	B1 III Binary (SB1)
074.323669	-66.442085	12.584	12.554	B3 Iab
074.326378	-66.433220	14.071	14.043	B1 Ib
074.338371	-66.417000	15.231	15.225	B0.5 V
074.341873	-66.322418	15.047	15.154	B2 III Binary?
074.342003	-66.407639	13.111	13.063	B0.7 Ib
074.350792	-66.433334	15.127	15.106	O8: V Binary (SB2)
074.357208	-66.351501	14.191	14.231	O9 V
074.364334	-67.650810	13.600	13.446	O3 If*/WN6 SB
074.369583	-66.517334	13.160	13.166	O9 II(f) Binary (SB1)
074.385376	-66.496971	15.003	14.939	B1-2 +early-B Binary (SB2)
074.385460	-66.432442	14.004	13.783	B2e
074.403252	-67.793724	 8.922	 8.358	B0.5[e]
074.404625	-66.395744	14.932	14.974	B1 III
074.407455	-68.409973	13.508	13.313	O7 III
074.418877	-66.456970	14.355	14.367	O9: Vn Binary (SB2)
074.420830	-66.498993	14.082	14.091	B0.5 Ib
074.420997	-66.545166	10.998	10.615	WN10
074.434212	-66.461189	11.984	11.947	O6:nn
074.435249	-66.399772	15.618	15.719	B1 Vn
074.453705	-69.872917	11.477	11.409	B2 Ia
074.454376	-66.404839	14.118	14.045	B1e
074.460747	-69.685890	12.751	12.725	B1.5 I:
074.514122	-70.608635	14.342	14.321	B1 Iab
074.582459	-70.217941	13.433	13.430	B1.5 II
074.663498	-67.188530	12.531	12.529	B0.7 Ia
074.687080	-65.060562	13.579	13.604	B2 III
074.698753	-65.639946	13.078	13.126	O9 II
074.712044	-67.444588	14.128	14.134	B0 III
074.736336	-68.803055	      	12.748	WN4o(+OB)
074.783333	-65.583611	13.954	13.898	B2 III
074.800957	-65.809112	13.248	13.180	B0 Ib
074.813332	-65.889747	14.327	14.164	B1 Ib
074.815712	-69.715355	13.718	13.568	B0 III
074.847626	-65.697754	11.649	11.626	B8 Ia
074.866836	-65.604973	14.222	14.231	B1 Iab
074.887375	-66.231224	13.589	13.618	O9 III
074.903877	-65.564949	13.104	13.073	B0 II
074.922379	-65.830551	12.400	12.362	BC2 Iab
074.934456	-65.748772	12.147	12.042	B1.5 Ia
074.964790	-67.948723	13.218	12.733	WN4b
075.001587	-65.805168	13.981	13.961	O7 III
075.027000	-65.760834	10.780	10.713	B9 Ia
075.136330	-70.418884	12.277	12.321	O9.5 III
075.201164	-68.099586	13.181	13.191	B1 III
075.206123	-68.119362	11.840	11.798	B3 I
075.287331	-70.565361	12.736	12.567	B0 n
075.306206	-65.810951	11.176	11.118	B3 Ia
075.342834	-65.696640	12.635	12.606	O9.7 Iab
075.344124	-67.336113	12.181	12.124	B2.5 Ia
075.346169	-65.875892	12.216	12.066	O6 Iaf+
075.384331	-68.178581	11.111	11.004	BC2 Ia
075.475456	-65.628387	14.284	14.340	B2 III
075.505127	-67.534302	14.198	14.178	O9. II
075.519249	-70.732224	14.644	14.612	O9:
075.530792	-71.336975	10.114	 9.607	LBV
075.535294	-70.665504	12.058	12.058	B5 Iab
075.558876	-67.771614	12.907	12.696	B extr
075.669998	-68.405838	14.740	14.775	B1-2 IV-III + B1-2 IV-III
075.786751	-66.959694	10.255	10.240	B8 Ia+
075.802917	-69.026947	12.396	12.373	O(f) +B1 I?
075.847038	-70.347527	13.397	13.360	B0 II
075.873253	-70.699837	11.566	11.560	B2.5 Ia
075.873833	-67.873672	14.241	14.237	O8
075.941208	-70.199310	11.212	11.166	B3 Ia
075.963081	-68.452911	14.247	14.228	O9 III
075.972916	-70.232582	11.736	11.664	B2 Ia
076.010582	-67.276672	14.094	14.030	O8.5 V
076.016541	-66.069221	13.685	13.519	B0 n
076.041336	-70.204994	 8.256	 8.422	M1 I
076.051376	-70.065391	12.919	12.580	WN4o
076.058792	-67.270699	 6.293	 6.311	M4 Ia
076.061791	-70.618477	13.968	13.927	O7.5 III
076.120377	-68.437752	13.942	13.867	B1 III
076.169876	-70.259582	13.931	13.851	O4-5 V((f))pec
076.174126	-70.710327	 7.831	 7.948	M3 I
076.176666	-68.076531	13.727	13.698	B0 Ib
076.177330	-68.401360	14.130	14.040	O8 III
076.209045	-68.131226	11.846	11.808	B2.5 Ia
076.225540	-70.555252	 8.218	 8.391	M0-1 I
076.256500	-67.174385	13.272	13.043	B1 V
076.285126	-70.379196	13.870	13.502	WN3(h)
076.291794	-70.667557	 8.196	 8.357	M0 I
076.296333	-70.437363	13.894	13.920	B0 III
076.300919	-66.736832	 9.749	 9.713	A0 Ia
076.313294	-68.037247	11.653	11.631	B2.5 Ia
076.319420	-70.471886	13.218	13.222	O9 Ib
076.327789	-70.430527	14.550	14.554	O5.5 V((f))
076.353081	-70.461273	14.047	13.999	O6 III(f)
076.362961	-68.167389	12.271	12.270	B0.5 Ia
076.389336	-70.563087	 7.286	 7.285	M4 I
076.460625	-65.706024	14.187	14.193	O8 V
076.485878	-70.590004	 7.785	 7.877	M4.5 I
076.498169	-70.803169	 7.703	 7.725	M4 I
076.520836	-65.664780	13.139	12.975	B extr
076.530334	-68.118393	12.372	12.352	B0 Ia
076.560959	-68.110863	13.622	13.557	O8 I
076.561791	-68.550362	12.411	12.400	O9.5 Ib
076.566834	-70.493248	11.435	11.389	B0.7 Ia
076.578583	-67.696442	13.084	13.083	B2 II
076.651749	-70.544082	 8.538	 8.628	M2 I
076.655289	-70.490051	12.675	12.613	B0 III
076.690002	-70.405586	14.066	14.099	B1 Ib
076.716377	-68.429581	14.686	14.713	B3 II
076.737747	-71.222809	13.241	13.198	B1 I
076.756622	-67.624916	12.539	12.541	B1.5 I
076.773415	-70.545639	 6.792	 6.929	M1 I
076.835083	-68.535721	11.649	11.639	B0 Ia
076.846916	-71.198334	13.611	13.558	O9 II
076.866836	-70.510330	13.558	13.368	Be (Fe II?)
076.878212	-71.147804	13.132	13.094	B1 Ib
076.885498	-70.651276	 7.712	 7.703	M2 I
076.897789	-71.207527	12.948	12.957	B0 II
076.915497	-71.026894	12.936	12.903	B0.5 I
077.051788	-69.231613	12.800	12.819	B2.5 I/II
077.117081	-68.807228	14.973	14.917	O8.5 V + O9 V
077.164124	-68.762085	12.995	12.929	O8 V
077.244621	-71.424606	13.379	13.126	B extr
077.350166	-71.350387	14.450	14.440	Be (Fe II)
077.412125	-71.400612	10.076	10.010	A0 Ia
077.418419	-68.890221	12.404	11.929	WN4b+O5: SB EB
077.438294	-68.769417	11.825	11.690	B3 Iab
077.447250	-67.899414	13.160	13.136	O6.5 III
077.463959	-68.906502	14.630	14.672	O8 V
077.471085	-68.927193	11.587	11.560	B0.7 Ia+
077.488747	-68.903503	14.869	14.826	O8 V
077.495041	-69.117172	12.389	12.341	B1 II
077.496086	-68.917305	13.248	13.239	F2 I
077.501289	-68.896133	14.528	14.586	B0 V
077.527122	-67.236694	13.518	13.459	B0 I
077.549332	-68.901337	11.501	11.506	O6 Ib(f)
077.601753	-69.114250	14.113	14.073	O7 V((f))
077.672920	-66.756165	13.980	13.648	B3 V
077.715752	-67.173996	13.153	13.137	B1.5 I:
077.967003	-67.166031	 9.904	10.023	B2 III
078.069710	-67.434166	14.336	14.286	O9 V
078.071167	-67.323975	11.068	11.002	B3 Ia
078.088249	-65.426247	14.074	14.094	B1.5 III
078.126663	-67.453995	14.587	14.677	B1: V
078.141792	-68.716972	13.489	13.339	B extr
078.193207	-67.327194	 7.186	 6.947	M2 Ia
078.229416	-65.096527	14.589	14.522	B2 II
078.250458	-69.393471	13.643	13.624	O9 II
078.284752	-69.301140	14.243	14.213	B2 Ia
078.299499	-69.372391	15.088	15.154	B0.5 V
078.366043	-69.519974	13.752	13.752	B1 III
078.378250	-69.539917	 9.523	 9.401	B8 I
078.379456	-70.299637	12.983	12.835	B extr
078.408043	-69.300278	12.345	12.237	O6.5 II(f)
078.412170	-69.352249	 7.755	 7.042	B0.5[e]
078.432373	-67.374832	13.001	12.748	WN4o(+OB)
078.449623	-69.539276	14.731	14.718	B1 III
078.470795	-67.448586	 6.288	 5.573	B0.5[e]
078.476127	-69.529640	 7.605	 7.486	WN9h
078.497086	-69.529701	14.464	14.419	B0.5 III
078.507919	-67.330971	11.456	11.424	B5 Ia
078.545997	-69.543526	10.171	10.113	B8:-;F2 Ia
078.552872	-69.323944	12.826	12.346	WN4b
078.555084	-69.556778	14.398	14.301	B1 IIIe
078.570747	-69.304527	13.681	13.669	O9 II
078.583626	-67.134224	13.518	13.565	O4 III(f)
078.623497	-69.495437	11.821	11.821	O7.5 Iaf
078.631538	-69.231499	10.611	10.594	B8 Ia
078.707291	-67.455498	 7.000	 6.919	M3 Ia
078.723877	-65.310585	14.704	14.718	B1 III
078.922920	-70.077499	16.018	16.054	B1 V + B2 V
079.056877	-70.574638	13.210	13.163	B0.5 I
079.132500	-68.369255	 8.272	 7.498	B9[e] Ib
079.161835	-69.278030	13.146	13.053	WN4b
079.216164	-69.191475	13.894	13.704	B1 V
079.273460	-70.323051	12.484	12.417	B0 I
079.287956	-69.539192	 7.515	 7.498	M2 I
079.323082	-69.778923	11.343	11.334	B2.5 Ia
079.439087	-71.244499	14.641	14.681	O9 V
079.474625	-69.140083	14.802	14.770	O6.5 V SB:
079.484123	-69.267723	 9.649	 9.538	LBV (A Ie)
079.485458	-69.673721	 8.379	 8.606	M2 I
079.499710	-69.270729	11.852	11.795	A2 I
079.519585	-69.805282	14.889	14.922	O9 V + O9 V
079.522751	-69.205917	13.498	13.499	B1 III
079.524956	-69.242966	12.959	12.912	O8.5 V((f))
079.526832	-69.210083	13.799	13.776	B1 III
079.545754	-69.218719	11.934	11.853	B0.2 I
079.546501	-69.217445	12.847	12.819	B0.2 I
079.550209	-69.217560	12.116	12.054	B0.5 I
079.554421	-69.263916	14.241	14.228	O8.5 V
079.557503	-69.200302	12.671	12.696	O9.5 I
079.560540	-69.250280	 7.760	 7.647	LBV
079.561081	-69.216133	14.298	14.295	B0.2 III
079.569961	-69.251526	12.826	12.756	O9.5 I
079.575043	-69.763527	12.389	12.295	B2 I
079.580040	-69.194641	11.121	10.993	WN5b(+B1Ia)
079.582375	-65.820724	14.423	14.440	O9 V
079.595459	-69.236999	14.669	14.595	B0.5: V:
079.598915	-69.183723	13.498	13.434	O8.5 III
079.612999	-69.188057	13.929	13.880	O9.5 V
079.625709	-69.220581	11.478	11.409	A0 I
079.633247	-69.241165	11.782	11.767	F5 I
079.640587	-69.255058	13.272	13.186	O8.5 III(f)
079.640915	-69.216782	14.261	14.164	B1 III
079.644211	-69.174995	13.548	13.544	B0.2 III
079.654915	-69.221557	14.013	14.065	O7 III(f)
079.676712	-69.236305	13.433	13.379	O8 V
079.676834	-69.215553	13.548	13.493	O6 III(f)
079.705956	-69.234833	12.983	12.912	O7.5 If
079.715584	-65.689583	11.842	11.840	B3 Ia
079.715874	-69.201660	13.744	13.724	B0 III
079.747833	-69.215217	12.627	12.599	O6 Ib(f)
079.749084	-69.226112	14.704	14.663	B0 V
079.757790	-69.218498	13.611	13.578	O4 III
079.763962	-69.665337	 7.369	 7.326	M1 I
079.765877	-69.637917	12.299	12.163	B3 Iab
079.772545	-65.667610	13.104	13.083	B2 III
079.799080	-69.706772	15.674	15.741	B2 IV-V + B2 III-IV
079.818085	-69.655556	11.827	11.508	WC4 +O5-6V-III(+O) SB2
079.824043	-69.653946	11.878	11.847	O9.5 Ib
079.829834	-65.866524	14.561	14.518	O8 III
079.882957	-66.638718	14.383	14.292	B1 Ib
079.941040	-65.685059	13.479	13.256	B extr
079.971916	-68.067696	 6.857	 6.962	M2 Ia
079.972252	-69.459274	 7.831	 7.966	M3 I
080.023834	-67.352974	12.953	12.877	B0 I
080.066666	-69.418053	13.795	13.563	B0-3e XRB
080.076874	-65.402252	14.220	14.207	O9 V
080.079498	-67.301590	11.307	11.266	B3 Ia
080.098709	-69.557587	 7.885	 7.740	M3 I
080.140541	-69.543197	11.579	11.576	B3 Ia
080.186379	-65.472359	13.568	13.126	WN4b + OB SB
080.214455	-65.469307	15.043	14.911	O8 V
080.217751	-69.546555	11.957	12.007	B2.5 Ia
080.227791	-65.455078	12.930	12.860	O4 If
080.233414	-65.476532	 7.936	 8.156	Early M
080.274292	-65.962250	14.329	14.298	B0 n
080.301170	-65.497109	13.621	13.612	B1.5 I
080.343330	-69.452247	10.208	10.175	A1 Ia
080.366921	-69.504585	 8.033	 7.966	M3 I
080.376663	-67.543968	15.109	15.182	B3 II
080.393456	-65.487106	14.764	14.672	O9 V
080.406502	-67.103943	11.471	11.433	B5 Ia
080.431000	-67.918526	15.718	15.824	O9.5 V
080.442001	-67.922775	16.872	16.710	B0 V
080.447792	-67.927994	13.996	13.991	O9.5 V
080.451584	-67.939529	14.018	13.982	O9.5 III
080.455544	-67.947197	15.290	15.203	O9 V
080.460167	-67.887108	13.370	13.347	B0.5 III
080.463959	-67.936752	16.478	16.324	O9.5 V
080.464127	-71.367088	13.264	13.126	B0 n
080.480461	-67.936363	15.471	15.604	B0 V
080.490417	-65.816750	12.531	12.227	WN6h
080.491997	-67.918327	15.526	15.327	Be
080.497414	-67.957107	13.558	      	B0-B0.5::
080.499374	-67.960243	13.700	      	O5 III(f)
080.509705	-67.927109	14.746	14.677	B0 V
080.511459	-67.939888	15.353	15.429	O8 V
080.514038	-67.945915	14.042	13.885	B1 III
080.516205	-67.924583	13.014	13.013	B0.5 I
080.518100	-67.985100	13.423	12.948	WN4b SB?
080.525207	-67.934387	12.959	12.803	B1 IIIe
080.556167	-67.893944	13.008	12.912	O9 III
